Country Name,Country Code,2020,2021,2022,2023,2024
Guatemala,GTM,16.34361181,17.62965699,18.94549998,16.6062378,15.89287195
Guam,GUM,6.406355646,3.095925569,7.887120116,,
Guyana,GUY,,,,,
High income,HIC,28.64056661,31.43922389,34.0086894,32.11983157,31.71075034
"Hong Kong SAR, China",HKG,176.3044824,204.0142637,194.486518,176.7970053,181.7913422
Honduras,HND,35.8751401,39.36539836,42.43918179,37.36868047,33.54910099
Heavily indebted poor countries (HIPC),HPC,20.42259643,22.8067138,24.21756954,22.83040623,23.07989145
Croatia,HRV,41.28031811,49.78694322,59.51204469,52.56766797,50.14108919
Haiti,HTI,7.651004481,7.114727545,7.238760116,5.270689987,3.400774933
Hungary,HUN,78.08793174,79.41143438,89.77194749,81.2346323,75.39089028
IBRD only,IBD,23.2424074,25.60019966,27.2754761,25.25470744,25.55138859
IDA & IBRD total,IBT,22.65944753,25.05300508,26.71010767,24.91688579,25.3149102
IDA total,IDA,16.69543212,18.78606312,20.59874407,21.46443501,23.1936297
IDA blend,IDB,,,,,
Indonesia,IDN,17.33116828,21.41655564,24.50291169,21.7538472,22.18331287
IDA only,IDX,18.86712728,21.15033447,22.76533887,22.38182276,22.00045827
Isle of Man,IMN,,,,,
India,IND,18.68247693,21.39915833,23.2515412,21.44869778,21.16184605
Not classified,INX,,,,,
Ireland,IRL,139.8118899,136.3976702,139.5059805,136.5263667,143.9846017
"Iran, Islamic Rep.",IRN,18.39037486,22.01920784,25.56661852,23.92164755,23.5514721
Iraq,IRQ,27.75027755,37.32165283,44.52594621,39.63123224,37.50749375
Iceland,ISL,34.13873227,37.36495192,46.74162167,44.14589302,42.45198629
Israel,ISR,27.17229944,28.82340462,31.3853281,30.41050263,28.43476159
Italy,ITA,28.72585519,31.17160886,35.09914004,33.33158935,32.50504155
Jamaica,JAM,,,,,
Jordan,JOR,23.89994196,29.95841426,42.53746716,43.51688339,42.61205512
Japan,JPN,15.53318286,18.10919194,21.54642412,21.85159124,22.76899986
Kazakhstan,KAZ,30.5289068,33.64486212,41.5690089,34.65057745,31.58716369
Kenya,KEN,11.44104518,13.1097382,15.95702836,16.89066698,17.0656153
Kyrgyz Republic,KGZ,29.58187781,35.80558988,46.33727183,36.88822325,43.44299156
Cambodia,KHM,59.92179794,72.36103464,72.20706068,66.89266606,71.36358417
Kiribati,KIR,10.41998062,3.770220595,7.604776311,5.920157636,
St. Kitts and Nevis,KNA,,,,,
"Korea, Rep.",KOR,34.6152002,39.33881927,45.29486098,41.32148074,44.35823836
Kuwait,KWT,43.71314723,51.72636307,60.44930631,57.73015051,
Latin America & Caribbean (excluding high income),LAC,23.36780047,25.7432865,26.589268,23.6835176,24.11865141
Lao PDR,LAO,,,,,
Lebanon,LBN,16.37258687,26.02562769,34.82877925,30.55141197,
Liberia,LBR,,,,,
Libya,LBY,20.36379006,92.05460755,91.98092351,87.17992487,71.97097738
St. Lucia,LCA,,,,,
Latin America & Caribbean,LCN,25.00342328,27.19018976,28.11091078,25.21703628,25.65511567
Least developed countries: UN classification,LDC,18.00016541,20.88749116,22.46944965,21.65694917,20.97253734
Low income,LIC,20.19039329,23.18075501,23.91291788,24.14393195,25.94736378
Liechtenstein,LIE,,,,,
Sri Lanka,LKA,15.45763992,16.92142159,21.55956246,20.68913623,19.88632072
Lower middle income,LMC,22.20675257,24.60620783,27.08363821,26.5299801,27.2021234
Low & middle income,LMY,21.53135018,23.75419445,25.50470873,23.91212563,24.49728015
Lesotho,LSO,44.44901241,46.14608982,46.50638222,42.92298069,
Late-demographic dividend,LTE,27.36124735,29.2931468,31.15075928,29.54104021,30.50401252
Lithuania,LTU,72.4346855,79.62993851,86.77984929,76.4728581,74.11398075
Luxembourg,LUX,204.4369623,215.618163,222.3084562,217.3798226,191.5329702
Latvia,LVA,62.65924226,66.81127696,77.50148384,65.98965515,65.33413037
"Macao SAR, China",MAC,61.66495019,91.89491154,84.7916045,92.41704358,92.1896066
St. Martin (French part),MAF,,,,,
Morocco,MAR,30.79410695,33.13608494,44.71162823,42.41760336,41.9985233
Monaco,MCO,,,,,
Moldova,MDA,27.91433626,30.64878771,41.22645945,35.11258579,31.41354712
Madagascar,MDG,20.14207488,23.0916321,30.54329487,27.00304749,23.26248736
Maldives,MDV,48.24119963,76.09898516,82.67085556,74.04376927,78.21421654
"Middle East, North Africa, Afghanistan & Pakistan",MEA,31.74244269,36.19536832,42.19844061,41.110541,
Mexico,MEX,39.23537209,40.5691932,42.93229021,36.06939516,36.70336882
Marshall Islands,MHL,35.48846154,45.97843594,39.97784167,38.57382698,42.06418918
Middle income,MIC,21.55703269,23.77187344,25.53699159,23.92456862,24.50008289
North Macedonia,MKD,57.77148578,65.44386486,72.78539954,67.39699805,61.67920375
Mali,MLI,25.14225937,23.43477275,26.02565262,24.7499499,22.56540408
Malta,MLT,129.9541179,118.7555637,128.4600906,119.5582288,118.4861172
Myanmar,MMR,,,,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,17.5196593,21.63973539,26.80250805,26.35383818,24.52971328
Montenegro,MNE,26.25220097,43.11936821,51.34494166,49.22902306,43.74708296
Mongolia,MNG,57.66034973,58.54886395,65.06135116,76.25711713,68.71656271
Northern Mariana Islands,MNP,14.78060046,6.01750547,22.26277372,,
Mozambique,MOZ,32.78987347,40.35049852,49.8269428,45.61428123,42.83529575
Mauritania,MRT,41.40610428,39.85602326,39.73780782,38.40709081,41.41083121
Mauritius,MUS,55.36101571,60.76735432,67.02929485,69.04114535,67.11176111
Malawi,MWI,11.00475372,12.71195642,11.34238085,11.24503639,
Malaysia,MYS,61.57793591,70.63305555,76.80779748,68.67895357,71.34108498
North America,NAC,11.62861724,12.58406643,13.54104571,12.83019964,12.66371188
Namibia,NAM,33.67786895,31.95641088,40.45847183,43.62676898,41.64386747
New Caledonia,NCL,18.04516589,14.15462102,15.38197703,16.9373546,11.6947135
Niger,NER,9.737845606,9.993720669,26.40307422,23.7067972,27.32392027
Nigeria,NGA,,,,,
Nicaragua,NIC,41.74610054,46.40424306,49.89577474,45.84937177,40.46306249
Netherlands,NLD,81.24152595,86.4500028,96.44362158,87.48606129,82.43036049
Norway,NOR,32.21033778,43.03630192,55.49982077,47.91209903,47.49170901
Nepal,NPL,6.805298355,5.119171485,6.702390866,7.005967281,7.621898571
Nauru,NRU,43.58360215,30.818,53.81047619,43.46666667,55.32258065
New Zealand,NZL,21.69714828,22.30988598,24.04738732,23.71501174,24.80523861
OECD members,OED,25.76751877,28.11495416,30.57141087,28.92473283,28.38902579
Oman,OMN,47.05487337,53.32975935,63.25050191,61.58434274,66.07256611
Other small states,OSS,67.175982,75.90828969,83.71943262,77.94314565,76.7060705
Pakistan,PAK,9.298559442,9.051599889,10.54059027,10.49395875,10.39045279
Panama,PAN,36.26908816,41.60670401,48.02659783,45.62924401,44.35784222
Peru,PER,23.01144314,29.23585959,28.83186077,27.13530582,28.53759088
Philippines,PHL,25.20283931,25.75203492,28.38740155,26.63684935,25.77344115
Palau,PLW,23.08121776,6.714271757,15.66861505,26.28143627,
Papua New Guinea,PNG,,,,,
Poland,POL,52.43388552,57.03797607,62.35251625,57.88127102,52.17981339
Pre-demographic dividend,PRE,17.10909789,21.80738075,25.44449068,25.52887585,29.78898717
Puerto Rico (US),PRI,60.34796555,54.41233677,52.44629259,53.64480778,51.87697006
"Korea, Dem. People's Rep.",PRK,,,,,
Portugal,PRT,37.25601513,41.54842718,49.4816822,47.15547693,45.77172504
Paraguay,PRY,33.27062699,35.48709251,34.36938459,42.06419021,37.20168147
West Bank and Gaza,PSE,15.35762344,17.34110111,18.43625264,17.74550507,21.03988739
Pacific island small states,PSS,,,,,
Post-demographic dividend,PST,26.23240068,28.7417843,31.08412219,29.46697638,29.02056799
French Polynesia,PYF,9.499728476,13.44312714,21.81712174,24.06792174,18.32137235
Qatar,QAT,49.1188187,58.72597348,68.59840882,,
Romania,ROU,36.971141,40.69438727,43.51310539,39.24459755,35.6030267
Russian Federation,RUS,25.52218551,30.00241954,27.72030335,22.49271195,21.91660028
Rwanda,RWA,19.32594183,19.50249469,22.47806151,25.00573072,30.82208044
South Asia,SAS,17.54223046,20.01149266,21.9274089,20.51904163,20.03461537
Saudi Arabia,SAU,23.80981153,29.1556614,35.9850099,30.24251963,29.10921227
Sudan,SDN,5.125312695,2.249870428,1.571161831,1.108108593,0.72093019
Senegal,SEN,20.70055286,24.63960212,26.69916422,23.10485166,24.6910839
Singapore,SGP,181.7820245,182.7108066,186.1142908,181.5613224,178.7762868
Solomon Islands,SLB,27.93853908,26.55551825,28.13197664,36.25930665,40.56850627
Sierra Leone,SLE,9.890469239,15.54763945,16.78047802,20.96365852,17.26564834
El Salvador,SLV,24.52679828,28.78149539,32.43348315,31.39714314,32.76070438
San Marino,SMR,164.4786944,184.3142815,197.4123513,185.9927944,
"Somalia, Fed. Rep.",SOM,13.65322207,16.15522514,17.68107419,21.93830991,31.21082978
Serbia,SRB,46.10508759,52.34040052,60.7381675,55.07460981,53.58376671
Sub-Saharan Africa (excluding high income),SSA,19.95134835,23.73791709,25.43221249,26.15474692,30.06441342
South Sudan,SSD,,,,,
Sub-Saharan Africa,SSF,19.36337445,22.99677613,24.6195687,25.00842669,28.30961438
Small states,SST,67.59693979,76.63026854,81.31191361,77.63705689,74.92210481
Sao Tome and Principe,STP,,,,,
Suriname,SUR,,,,,
Slovak Republic,SVK,84.29834345,90.76186176,99.06749339,91.49355613,85.48349896
Slovenia,SVN,78.27179999,83.69994179,94.31625942,83.43827373,80.91738949
Sweden,SWE,44.28737715,47.48423703,54.31206336,55.19587797,54.30958097
Eswatini,SWZ,43.60319362,44.61257018,44.49539372,48.50102233,53.75589187
Sint Maarten (Dutch part),SXM,,,,,
Seychelles,SYC,66.54668952,80.26387147,90.12160331,83.40836921,85.16833617
Syrian Arab Republic,SYR,13.68600747,15.51297057,6.810126878,,
Turks and Caicos Islands,TCA,,,,,
Chad,TCD,21.28684643,26.2833493,31.73534411,29.12174795,29.77461423
East Asia & Pacific (IDA & IBRD countries),TEA,21.51005293,23.07856929,24.45207808,23.03486166,24.18715583
Europe & Central Asia (IDA & IBRD countries),TEC,33.55340525,38.25101678,38.86074902,34.76051878,32.34848029
Togo,TGO,23.0702588,23.13429606,25.00921049,,
Thailand,THA,51.49442661,58.55938918,65.37276419,65.44456294,70.04973074
Tajikistan,TJK,17.32431457,24.18192989,16.35312405,17.19183746,
Turkmenistan,TKM,17.81894826,20.56054529,24.87638201,21.62452109,17.57261737
Latin America & the Caribbean (IDA & IBRD countries),TLA,24.58704503,27.0231061,28.02628003,25.03476693,25.50207176
Timor-Leste,TLS,36.66621481,63.51278783,55.61193546,22.9230953,10.55755341
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,17.53995244,21.68013518,26.87705299,26.42747649,24.55122484
Tonga,TON,19.70512241,11.08141418,10.76340758,14.74402069,
South Asia (IDA & IBRD),TSA,17.54223046,20.01149266,21.9274089,20.51904163,20.03461537
Sub-Saharan Africa (IDA & IBRD countries),TSS,19.36337445,22.99677613,24.6195687,25.00842669,28.30961438
Trinidad and Tobago,TTO,,,,,
Tunisia,TUN,37.99180098,41.7802023,51.32593971,53.03939391,50.00169003
Turkiye,TUR,28.74000435,35.05363329,38.14121075,31.91359268,27.56822321
Tuvalu,TUV,,,,,
Tanzania,TZA,13.50387385,14.12002233,15.41371052,17.19542988,19.83048287
Uganda,UGA,15.41479854,15.78100817,12.02199543,11.60170893,16.75759312
Ukraine,UKR,38.82164629,40.68834048,35.44511534,28.30046827,29.41021398
Upper middle income,UMC,21.49824181,23.66381728,25.27052335,23.40080482,23.95599914
Uruguay,URY,26.18828062,32.9446052,33.33161301,28.14030123,28.76077192
United States,USA,10.21410553,10.96041677,11.78440463,11.18441264,11.10745669
Uzbekistan,UZB,21.91541649,21.3073856,23.26703104,24.42474647,22.7657915
St. Vincent and the Grenadines,VCT,,,,,
"Venezuela, RB",VEN,13.00581399,15.34999412,16.34920746,18.06692685,16.8598487
British Virgin Islands,VGB,,,,,
Virgin Islands (U.S.),VIR,38.30692835,90.28178389,97.36729452,,
Viet Nam,VNM,84.38159801,93.85020713,93.42012904,86.46741924,90.15422105
Vanuatu,VUT,18.47344395,9.553656403,9.425481915,,
World,WLD,26.14243828,28.6484687,30.89243133,29.15260889,29.10763445
Samoa,WSM,29.19641292,11.47091343,11.4857734,26.20857845,30.65786903
Kosovo,XKX,21.69514688,33.40918273,38.62565701,39.64047567,41.74835296
"Yemen, Rep.",YEM,,,,,
South Africa,ZAF,27.57591416,31.19161051,33.53944032,33.25381276,31.79190706
Zambia,ZMB,46.72018647,52.21609002,40.19399771,40.84612397,34.98187275
Zimbabwe,ZWE,18.93122525,19.75961734,23.69921963,17.11707601,18.04884184
